 i, m(i) , mdata(i) , weights(i) , loss(1,i) ,nobs(i)
  34,          0.24423963,          0.25287000,        460.82949309,          0.00863037,    217,Assets>10     _Age_51._55._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                  
  35,          0.32317073,          0.24286000,        380.22813688,         -0.08031073,    164,Assets>10     _Age_56._61._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                  
  36,          0.21259843,          0.17857000,        381.67938931,         -0.03402843,    127,Assets>10     _Age_61._66._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                  
  37,          0.86610979,          0.79890000,      12500.00000000,         -0.06720979,   4190,LFP     _Age_51._55._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  38,          0.84930663,          0.71456000,       7692.30769231,         -0.13474663,   3245,LFP     _Age_56._60._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  39,          0.74153499,          0.56573000,       5263.15789474,         -0.17580499,   2658,LFP     _Age_61._65._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  40,          0.36086270,          0.29718000,       4347.82608696,         -0.06368270,   1901,LFP     _Age_66._70._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  41,          0.21707901,          0.17230000,       4347.82608696,         -0.04477901,   1253,LFP     _Age_71._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  42,          0.59879816,          0.38593000,       2439.02439024,         -0.21286816,   2829,LFP     _Age_51._55._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  43,          0.33105134,          0.35236000,       1754.38596491,          0.02130866,   2045,LFP     _Age_56._60._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  44,          0.21925134,          0.11498000,       2857.14285714,         -0.10427134,   1496,LFP     _Age_61._65._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  45,          0.11727079,          0.04520000,       4166.66666667,         -0.07207079,    938,LFP     _Age_66._70._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  46,          0.03276353,          0.03623000,       4000.00000000,          0.00346647,    702,LFP     _Age_71._75._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  47,          0.76679842,          0.61279000,       1250.00000000,         -0.15400842,   1771,LFP     _Age_51._55._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
