		collinear	means	Assets	Assets	LFP	LFP	Cov	Cov	Earn	Earn	lagEarn	lagEarn	EarnDif	EarnDif	NbEarn	NbEarn	NbCov	NbCov	Age	Age	Married	Married	Female	Female	Numk	Numk	Edu	Edu	XP	XP	CovXP	CovXP	Cohort	Cohort	LFP	LFP	Cov	Cov	lagLFP	lagLFP	lagCov	lagCov	Assets	Assets	Year	Year	YearOdd	YearOdd
36	Assets>10	0	0	10.00000001	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
37	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	-999	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
38	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	60	-999	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
39	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	65	-999	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
40	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	66	70	-999	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
41	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	71	75	-999	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
42	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	1	1	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
43	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	60	1	1	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
44	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	65	1	1	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
45	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	66	70	1	1	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
46	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	71	75	1	1	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
47	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
48	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	60	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
49	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	65	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
50	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	66	70	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
51	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	71	75	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
52	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
53	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	0.5	5	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
54	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	5.5	15	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
